name,company,year,Price,kms_driven,fuel_type
Grand i10,Hyundai,2014,325000,28000,Petrol
EcoSport Titanium,Ford,2014,575000,36000,Diesel
Suzuki Alto,Maruti,2015,250000,60000,Petrol
Suzuki Stingray,Maruti,2015,315000,30000,Petrol
Elite i20,Hyundai,2014,415000,32000,Petrol
Scorpio SLE,Mahindra,2015,320000,48660,Diesel
Q7,Audi,2014,500000,16934,Diesel
Scorpio S10,Mahindra,2016,350000,43000,Diesel
Scorpio S10,Mahindra,2016,310000,39522,Diesel
Suzuki Vitara,Maruti,2016,290000,15975,Diesel
Suzuki Swift,Maruti,2014,385000,35522,Diesel
Scorpio S10,Mahindra,2015,250000,48508,Diesel
Innova 2.0,Toyota,2012,650000,82000,Diesel
Lodgy 85,Renault,2018,689999,20000,Diesel
Yeti Ambition,Skoda,2012,448000,68000,Diesel
Suzuki Baleno,Maruti,2017,549000,32000,Diesel
Duster 110,Renault,2012,501000,38000,Diesel
Duster 85,Renault,2013,489999,27000,Diesel
City 1.5,Honda,2011,280000,33000,Petrol
Suzuki Dzire,Maruti,2013,349999,46000,Diesel
Amaze,Honda,2013,284999,46000,Diesel
Amaze 1.5,Honda,2015,345000,36000,Diesel
City,Honda,2015,499999,55000,Petrol
Redi GO,Datsun,2017,235000,16000,Petrol
Suzuki SX4,Maruti,2010,249999,36000,Petrol
Scorpio S10,Mahindra,2015,395000,35000,Diesel
Suzuki Swift,Maruti,2017,220000,30874,Petrol
Indigo eCS,Tata,2017,200000,130000,Diesel
Scorpio SLE,Mahindra,2012,570000,19000,Diesel
Polo Highline,Volkswagen,2014,315000,60000,Petrol
Duster 110PS,Renault,2012,501000,35000,Diesel
City,Honda,2015,448999,54000,Petrol
Amaze,Honda,2015,344999,22000,Petrol
Duster,Renault,2014,449999,50000,Diesel
Scorpio VLX,Mahindra,2014,699000,50000,Diesel
Quanto C8,Mahindra,2013,375000,20000,Diesel
EcoSport,Ford,2017,489999,39000,Petrol
Brio,Honda,2012,224999,30000,Petrol
Corolla Altis,Toyota,2010,351000,38000,Diesel
Corolla Altis,Toyota,2009,240000,35000,Petrol
3 Series,BMW,2011,600000,60500,Petrol
Etios GD,Toyota,2013,350000,60000,Diesel
Figo Diesel,Ford,2012,210000,35000,Diesel
Suzuki Swift,Maruti,2014,390000,35000,Petrol
i10 Magna,Hyundai,2014,265000,18000,Petrol
Verna Fluidic,Hyundai,2015,525000,35000,Diesel
Suzuki Swift,Maruti,2013,372000,13349,Petrol
Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
EcoSport Titanium,Ford,2014,550000,44000,Diesel
Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
Grand i10,Hyundai,2014,345000,49000,Diesel
Amaze 1.2,Honda,2014,325000,42000,Petrol
i20 Asta,Hyundai,2012,329500,36200,Diesel
Suzuki Eeco,Maruti,2015,251111,55000,Petrol
Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
